成分表選択
01.一般成分表-無機質-ビタミン類
02.アミノ酸-可食部100g
03.アミノ酸-基準窒素1g
04.アミノ酸-たんぱく質1g
05.脂肪酸-可食部100g
06.脂肪酸-脂肪酸総量100g
07.脂肪酸-脂質1g
08.炭水化物-可食部100g-利用可能炭水化物及び糖アルコール
09.炭水化物-可食部100g-食物繊維
10.炭水化物-可食部100g-有機酸
